Code,TOTAL_SHARES,Industry
sz000001,17170411366.0,银行
sz000002,11039152001.0,房地产
sz000004,83976684.0,医药生物
sz000005,1058536842.0,公用事业
sz000006,1349995046.0,房地产
sz000007,346448044.0,综合
sz000008,2819005279.0,机械设备
sz000009,2149344971.0,综合
sz000010,819854713.0,建筑装饰
sz000011,595979092.0,房地产
sz000012,2386635893.0,建筑材料
sz000014,201705187.0,房地产
sz000016,2407945408.0,家用电器
sz000017,551347947.0,汽车
sz000018,1698245011.0,建筑装饰
sz000019,496782303.0,食品饮料
sz000020,283161227.0,电子
sz000021,1471259363.0,计算机
sz000022,644763730.0,交通运输
sz000023,138756240.0,建筑材料
sz000025,297281600.0,汽车
sz000026,438744881.0,轻工制造
sz000027,3964491597.0,公用事业
sz000028,428126983.0,医药生物
sz000029,1011660000.0,房地产
sz000030,1293251508.0,汽车
sz000031,1813731596.0,房地产
sz000032,422254134.0,通信
sz000034,654070434.0,计算机
sz000035,1351521423.0,公用事业
sz000036,1141487712.0,房地产
sz000037,602762596.0,公用事业
sz000038,522777419.0,传媒
sz000039,2980591186.0,机械设备
sz000040,1337173272.0,房地产
sz000042,664831139.0,房地产
sz000043,666961416.0,房地产
sz000045,506521849.0,电子
sz000046,5196200656.0,房地产
sz000048,390768671.0,农林牧渔
sz000049,205243738.0,电子
sz000050,1401098744.0,电子
sz000055,1183642254.0,建筑装饰
sz000056,1175345368.0,房地产
sz000058,1235656249.0,商业贸易
sz000059,1599442537.0,化工
sz000060,2379790218.0,有色金属
sz000061,1696964131.0,商业贸易
sz000062,721316774.0,电子
sz000063,4190014530.0,通信
sz000065,513003607.0,建筑装饰
sz000066,2944069459.0,计算机
sz000068,1006671464.0,公用事业
sz000069,8205681415.0,房地产
sz000070,626994746.0,通信
sz000078,2646613257.0,医药生物
sz000088,1942200000.0,交通运输
sz000089,2050769509.0,交通运输
sz000090,1197785535.0,房地产
sz000096,528000000.0,化工
sz000099,606070420.0,交通运输
sz000100,12213681742.0,家用电器
sz000150,447804877.0,医药生物
sz000151,295980000.0,商业贸易
sz000153,312141230.0,医药生物
sz000155,1270000000.0,化工
sz000156,1433351902.0,传媒
sz000157,7625287164.0,机械设备
sz000158,1652874961.0,计算机
sz000159,481139294.0,化工
sz000166,20056605718.0,非银金融
sz000301,1218236445.0,公用事业
sz000333,6519637198.0,家用电器
sz000338,7997238556.0,汽车
sz000400,1008327309.0,电气设备
sz000401,1347522914.0,建筑材料
sz000402,2988929907.0,房地产
sz000403,272577599.0,医药生物
sz000404,695995979.0,家用电器
sz000407,880084656.0,公用事业
sz000408,2072231638.0,商业贸易
sz000409,510931158.0,综合
sz000410,765470884.0,机械设备
sz000411,207449946.0,医药生物
sz000413,4939928983.0,电子
sz000415,6184521282.0,非银金融
sz000416,531871494.0,非银金融
sz000417,779884200.0,商业贸易
sz000418,632487764.0,家用电器
sz000419,543582655.0,商业贸易
sz000420,1970706656.0,化工
sz000421,572646934.0,公用事业
sz000422,897866712.0,化工
sz000423,654021537.0,医药生物
sz000425,7007727655.0,机械设备
sz000426,1868500557.0,有色金属
sz000428,1018926000.0,休闲服务
sz000429,2090806126.0,交通运输
sz000430,404817686.0,休闲服务
sz000488,1936405467.0,轻工制造
sz000498,1120139063.0,建筑装饰
sz000501,769384681.0,商业贸易
sz000502,184819607.0,房地产
sz000503,898822204.0,医药生物
sz000504,311573901.0,传媒
sz000505,426745404.0,房地产
sz000506,929017761.0,房地产
sz000507,789540919.0,交通运输
sz000509,825483117.0,建筑材料
sz000510,609182254.0,化工
sz000511,1154832011.0,有色金属
sz000513,553231369.0,医药生物
sz000514,843770965.0,房地产
sz000516,1971049302.0,商业贸易
sz000517,3183922485.0,房地产
sz000518,1029556222.0,医药生物
sz000519,1403461644.0,国防军工
sz000520,1012083455.0,交通运输
sz000521,1044597881.0,家用电器
sz000523,522944271.0,化工
sz000524,670208597.0,休闲服务
sz000525,580772873.0,化工
sz000526,96195107.0,传媒
sz000528,1125242136.0,机械设备
sz000529,583790330.0,综合
sz000530,856487181.0,机械设备
sz000531,685082820.0,公用事业
sz000532,344708340.0,电子
sz000533,690816000.0,家用电器
sz000534,491785096.0,房地产
sz000536,2766032803.0,电子
sz000537,512717581.0,房地产
sz000538,1041399718.0,医药生物
sz000539,5250283986.0,公用事业
sz000540,4700943536.0,房地产
sz000541,1272132868.0,电子
sz000543,1790395978.0,公用事业
sz000544,649789659.0,公用事业
sz000545,986833096.0,化工
sz000546,714644396.0,建筑材料
sz000547,1429628897.0,国防军工
sz000548,499215811.0,交通运输
sz000550,863214000.0,汽车
sz000551,400080405.0,机械设备
sz000552,2286971050.0,采掘
sz000553,2404806259.0,化工
sz000554,480793320.0,化工
sz000555,963431273.0,计算机
sz000557,1458374735.0,食品饮料
sz000558,1289223949.0,房地产
sz000559,2753159454.0,汽车
sz000560,1170235934.0,商业贸易
sz000561,595844701.0,通信
sz000563,3090491732.0,非银金融
sz000564,6007828231.0,商业贸易
sz000565,433592220.0,化工
sz000566,1335979264.0,医药生物
sz000567,151200000.0,房地产
sz000568,1464752476.0,食品饮料
sz000570,561374326.0,机械设备
sz000571,814064000.0,采掘
sz000572,1644636426.0,汽车
sz000573,622755604.0,房地产
sz000576,442861324.0,轻工制造
sz000581,1008950570.0,汽车
sz000582,1240259436.0,交通运输
sz000584,613324339.0,化工
sz000585,873370000.0,电气设备
sz000586,193440000.0,通信
sz000587,2123749330.0,轻工制造
sz000589,775464304.0,化工
sz000590,239471267.0,医药生物
sz000591,3007098032.0,电气设备
sz000592,1931780892.0,农林牧渔
sz000593,358631009.0,公用事业
