Code,TotalShares,Industry,IndCode
sz000001,17170411366.0,银行,801780.SI
sz000002,11039152001.0,房地产,801180.SI
sz000004,83976684.0,医药生物,801150.SI
sz000005,1058536842.0,公用事业,801160.SI
sz000006,1349995046.0,房地产,801180.SI
sz000007,346448044.0,综合,801230.SI
sz000008,2819005279.0,机械设备,801890.SI
sz000009,2149344971.0,综合,801230.SI
sz000010,819854713.0,建筑装饰,801720.SI
sz000011,595979092.0,房地产,801180.SI
sz000012,2386635893.0,建筑材料,801710.SI
sz000014,201705187.0,房地产,801180.SI
sz000016,2407945408.0,家用电器,801110.SI
sz000017,551347947.0,汽车,801880.SI
sz000018,1698245011.0,建筑装饰,801720.SI
sz000019,496782303.0,食品饮料,801120.SI
sz000020,283161227.0,电子,801080.SI
sz000021,1471259363.0,计算机,801750.SI
sz000022,644763730.0,交通运输,801170.SI
sz000023,138756240.0,建筑材料,801710.SI
sz000025,297281600.0,汽车,801880.SI
sz000026,438744881.0,轻工制造,801140.SI
sz000027,3964491597.0,公用事业,801160.SI
sz000028,428126983.0,医药生物,801150.SI
sz000029,1011660000.0,房地产,801180.SI
sz000030,1293251508.0,汽车,801880.SI
sz000031,1813731596.0,房地产,801180.SI
sz000032,422254134.0,通信,801770.SI
sz000034,654070434.0,计算机,801750.SI
sz000035,1351521423.0,公用事业,801160.SI
sz000036,1141487712.0,房地产,801180.SI
sz000037,602762596.0,公用事业,801160.SI
sz000038,522777419.0,传媒,801760.SI
sz000039,2980591186.0,机械设备,801890.SI
sz000040,1337173272.0,房地产,801180.SI
sz000042,664831139.0,房地产,801180.SI
sz000043,666961416.0,房地产,801180.SI
sz000045,506521849.0,电子,801080.SI
sz000046,5196200656.0,房地产,801180.SI
sz000048,390768671.0,农林牧渔,801010.SI
sz000049,205243738.0,电子,801080.SI
sz000050,1401098744.0,电子,801080.SI
sz000055,1183642254.0,建筑装饰,801720.SI
sz000056,1175345368.0,房地产,801180.SI
sz000058,1235656249.0,商业贸易,801200.SI
sz000059,1599442537.0,化工,801030.SI
sz000060,2379790218.0,有色金属,801050.SI
sz000061,1696964131.0,商业贸易,801200.SI
sz000062,721316774.0,电子,801080.SI
sz000063,4190014530.0,通信,801770.SI
sz000065,513003607.0,建筑装饰,801720.SI
sz000066,2944069459.0,计算机,801750.SI
sz000068,1006671464.0,公用事业,801160.SI
sz000069,8205681415.0,房地产,801180.SI
sz000070,626994746.0,通信,801770.SI
sz000078,2646613257.0,医药生物,801150.SI
sz000088,1942200000.0,交通运输,801170.SI
sz000089,2050769509.0,交通运输,801170.SI
sz000090,1197785535.0,房地产,801180.SI
sz000096,528000000.0,化工,801030.SI
sz000099,606070420.0,交通运输,801170.SI
sz000100,12213681742.0,家用电器,801110.SI
sz000150,447804877.0,医药生物,801150.SI
sz000151,295980000.0,商业贸易,801200.SI
sz000153,312141230.0,医药生物,801150.SI
sz000155,1270000000.0,化工,801030.SI
sz000156,1433351902.0,传媒,801760.SI
sz000157,7625287164.0,机械设备,801890.SI
sz000158,1652874961.0,计算机,801750.SI
sz000159,481139294.0,化工,801030.SI
sz000166,20056605718.0,非银金融,801790.SI
sz000301,1218236445.0,公用事业,801160.SI
sz000333,6519637198.0,家用电器,801110.SI
sz000338,7997238556.0,汽车,801880.SI
sz000400,1008327309.0,电气设备,801730.SI
sz000401,1347522914.0,建筑材料,801710.SI
sz000402,2988929907.0,房地产,801180.SI
sz000403,272577599.0,医药生物,801150.SI
sz000404,695995979.0,家用电器,801110.SI
sz000407,880084656.0,公用事业,801160.SI
sz000408,2072231638.0,商业贸易,801200.SI
sz000409,510931158.0,综合,801230.SI
sz000410,765470884.0,机械设备,801890.SI
sz000411,207449946.0,医药生物,801150.SI
sz000413,4939928983.0,电子,801080.SI
sz000415,6184521282.0,非银金融,801790.SI
sz000416,531871494.0,非银金融,801790.SI
sz000417,779884200.0,商业贸易,801200.SI
sz000418,632487764.0,家用电器,801110.SI
sz000419,543582655.0,商业贸易,801200.SI
sz000420,1970706656.0,化工,801030.SI
sz000421,572646934.0,公用事业,801160.SI
sz000422,897866712.0,化工,801030.SI
sz000423,654021537.0,医药生物,801150.SI
sz000425,7007727655.0,机械设备,801890.SI
sz000426,1868500557.0,有色金属,801050.SI
sz000428,1018926000.0,休闲服务,801210.SI
sz000429,2090806126.0,交通运输,801170.SI
sz000430,404817686.0,休闲服务,801210.SI
sz000488,1936405467.0,轻工制造,801140.SI
sz000498,1120139063.0,建筑装饰,801720.SI
sz000501,769384681.0,商业贸易,801200.SI
sz000502,184819607.0,房地产,801180.SI
sz000503,898822204.0,医药生物,801150.SI
sz000504,311573901.0,传媒,801760.SI
sz000505,426745404.0,房地产,801180.SI
sz000506,929017761.0,房地产,801180.SI
sz000507,789540919.0,交通运输,801170.SI
sz000509,825483117.0,建筑材料,801710.SI
sz000510,609182254.0,化工,801030.SI
sz000511,1154832011.0,有色金属,801050.SI
sz000513,553231369.0,医药生物,801150.SI
sz000514,843770965.0,房地产,801180.SI
sz000516,1971049302.0,商业贸易,801200.SI
sz000517,3183922485.0,房地产,801180.SI
sz000518,1029556222.0,医药生物,801150.SI
sz000519,1403461644.0,国防军工,801740.SI
sz000520,1012083455.0,交通运输,801170.SI
sz000521,1044597881.0,家用电器,801110.SI
sz000523,522944271.0,化工,801030.SI
sz000524,670208597.0,休闲服务,801210.SI
sz000525,580772873.0,化工,801030.SI
sz000526,96195107.0,传媒,801760.SI
sz000528,1125242136.0,机械设备,801890.SI
sz000529,583790330.0,综合,801230.SI
sz000530,856487181.0,机械设备,801890.SI
sz000531,685082820.0,公用事业,801160.SI
sz000532,344708340.0,电子,801080.SI
sz000533,690816000.0,家用电器,801110.SI
sz000534,491785096.0,房地产,801180.SI
sz000536,2766032803.0,电子,801080.SI
sz000537,512717581.0,房地产,801180.SI
sz000538,1041399718.0,医药生物,801150.SI
sz000539,5250283986.0,公用事业,801160.SI
sz000540,4700943536.0,房地产,801180.SI
sz000541,1272132868.0,电子,801080.SI
sz000543,1790395978.0,公用事业,801160.SI
sz000544,649789659.0,公用事业,801160.SI
sz000545,986833096.0,化工,801030.SI
sz000546,714644396.0,建筑材料,801710.SI
sz000547,1429628897.0,国防军工,801740.SI
sz000548,499215811.0,交通运输,801170.SI
sz000550,863214000.0,汽车,801880.SI
sz000551,400080405.0,机械设备,801890.SI
sz000552,2286971050.0,采掘,801020.SI
sz000553,2404806259.0,化工,801030.SI
sz000554,480793320.0,化工,801030.SI
sz000555,963431273.0,计算机,801750.SI
sz000557,1458374735.0,食品饮料,801120.SI
sz000558,1289223949.0,房地产,801180.SI
sz000559,2753159454.0,汽车,801880.SI
sz000560,1170235934.0,商业贸易,801200.SI
sz000561,595844701.0,通信,801770.SI
sz000563,3090491732.0,非银金融,801790.SI
sz000564,6007828231.0,商业贸易,801200.SI
sz000565,433592220.0,化工,801030.SI
sz000566,1335979264.0,医药生物,801150.SI
sz000567,151200000.0,房地产,801180.SI
sz000568,1464752476.0,食品饮料,801120.SI
sz000570,561374326.0,机械设备,801890.SI
sz000571,814064000.0,采掘,801020.SI
sz000572,1644636426.0,汽车,801880.SI
sz000573,622755604.0,房地产,801180.SI
sz000576,442861324.0,轻工制造,801140.SI
sz000581,1008950570.0,汽车,801880.SI
sz000582,1240259436.0,交通运输,801170.SI
sz000584,613324339.0,化工,801030.SI
sz000585,873370000.0,电气设备,801730.SI
sz000586,193440000.0,通信,801770.SI
sz000587,2123749330.0,轻工制造,801140.SI
sz000589,775464304.0,化工,801030.SI
sz000590,239471267.0,医药生物,801150.SI
sz000591,3007098032.0,电气设备,801730.SI
sz000592,1931780892.0,农林牧渔,801010.SI
sz000593,358631009.0,公用事业,801160.SI
sz000595,764279250.0,机械设备,801890.SI
sz000596,503600000.0,食品饮料,801120.SI
sz000597,474655068.0,医药生物,801150.SI
sz000598,2986218602.0,公用事业,801160.SI
sz000599,674578893.0,化工,801030.SI
sz000600,1791626376.0,公用事业,801160.SI
sz000601,1080551669.0,公用事业,801160.SI
sz000603,722625223.0,有色金属,801050.SI
sz000605,251899000.0,公用事业,801160.SI
sz000606,765799353.0,计算机,801750.SI
sz000607,1017698410.0,传媒,801760.SI
sz000608,749913309.0,房地产,801180.SI
sz000609,299275522.0,房地产,801180.SI
sz000610,236747901.0,休闲服务,801210.SI
sz000611,321822022.0,纺织服装,801130.SI
sz000612,1192199394.0,有色金属,801050.SI
sz000613,364100000.0,休闲服务,801210.SI
sz000615,780250550.0,房地产,801180.SI
sz000616,1430234425.0,房地产,801180.SI
sz000617,9030056485.0,机械设备,801890.SI
sz000619,360000000.0,建筑材料,801710.SI
sz000620,1896690420.0,房地产,801180.SI
sz000622,425226000.0,汽车,801880.SI
sz000623,1162769962.0,医药生物,801150.SI
sz000625,4802648511.0,汽车,801880.SI
sz000626,598634538.0,商业贸易,801200.SI
sz000627,4259194566.0,非银金融,801790.SI
sz000628,311480000.0,综合,801230.SI
sz000629,8589746202.0,采掘,801020.SI
sz000630,10526533308.0,有色金属,801050.SI
sz000631,2432519168.0,房地产,801180.SI
sz000632,465519570.0,综合,801230.SI
sz000633,385106373.0,有色金属,801050.SI
sz000635,303087602.0,化工,801030.SI
sz000636,895233111.0,电子,801080.SI
sz000637,519875356.0,化工,801030.SI
sz000638,309400000.0,综合,801230.SI
sz000639,454530468.0,农林牧渔,801010.SI
sz000650,1238340076.0,医药生物,801150.SI
sz000651,6015730878.0,家用电器,801110.SI
sz000652,1475573852.0,综合,801230.SI
sz000655,595340230.0,采掘,801020.SI
sz000656,5343368316.0,房地产,801180.SI
sz000657,628654664.0,有色金属,801050.SI
sz000659,1285702520.0,轻工制造,801140.SI
sz000661,170112265.0,医药生物,801150.SI
sz000662,840844445.0,计算机,801750.SI
sz000663,340988702.0,轻工制造,801140.SI
sz000665,636217448.0,传媒,801760.SI
sz000666,704130000.0,非银金融,801790.SI
sz000667,2559592332.0,房地产,801180.SI
sz000668,146841890.0,房地产,801180.SI
sz000669,486006284.0,公用事业,801160.SI
sz000670,816627360.0,电子,801080.SI
sz000671,4050073315.0,房地产,801180.SI
sz000672,813619871.0,建筑材料,801710.SI
sz000673,793334978.0,传媒,801760.SI
sz000676,965710782.0,传媒,801760.SI
sz000677,863977948.0,化工,801030.SI
sz000678,459611797.0,汽车,801880.SI
sz000679,356400000.0,商业贸易,801200.SI
sz000680,1240787611.0,机械设备,801890.SI
sz000681,700577436.0,传媒,801760.SI
sz000682,978163195.0,电气设备,801730.SI
sz000683,3900772992.0,化工,801030.SI
sz000685,1475111351.0,公用事业,801160.SI
sz000686,2340452915.0,非银金融,801790.SI
sz000687,766199362.0,通信,801770.SI
sz000688,1137299314.0,有色金属,801050.SI
sz000690,2175887862.0,公用事业,801160.SI
sz000691,323270000.0,房地产,801180.SI
sz000692,532832976.0,公用事业,801160.SI
sz000693,543491923.0,有色金属,801050.SI
sz000695,222147539.0,公用事业,801160.SI
sz000697,559680049.0,有色金属,801050.SI
sz000698,819514395.0,化工,801030.SI
sz000700,717207902.0,汽车,801880.SI
sz000701,406613056.0,电子,801080.SI
sz000702,266634576.0,农林牧渔,801010.SI
sz000703,1648424362.0,化工,801030.SI
sz000705,334123286.0,医药生物,801150.SI
sz000707,464145765.0,化工,801030.SI
sz000708,449408480.0,钢铁,801040.SI
sz000709,10618607852.0,钢铁,801040.SI
sz000710,354605865.0,汽车,801880.SI
sz000711,651189032.0,综合,801230.SI
sz000712,896000000.0,非银金融,801790.SI
sz000713,298875968.0,农林牧渔,801010.SI
sz000715,279006000.0,商业贸易,801200.SI
